MERCHANT,ACCT_STATUS_K_USD,CONTRACT_DURATION_MONTH,HISTORY,CREDIT_PROGRAM,AMOUNT_K_USD,ACCOUNT_TYPE,ACCT_AGE,STATE,PRESENT_RESIDENT,ESTABLISHED_MONTH,NUMBER_CREDITS,IS_DEFAULT
893,0 USD,12,CRITICAL ACCOUNT,NEW CAR,2171,up to 100 K USD,1 to 4 YRS,NY,4,38,2,0
894,0 to 200 USD,36,CRITICAL ACCOUNT,USED CAR,5800,up to 100 K USD,1 to 4 YRS,CT,4,34,2,0
895,NONE,18,CRITICAL ACCOUNT,ELECTRONICS,1169,UNKNOWN/NONE,1 to 4 YRS,NY,above 4 YRS,29,2,0
896,NONE,36,DELAY IN PAST,USED CAR,8947,UNKNOWN/NONE,4 to 7 YRS,CT,2 to 3 YRS,31,1,0
897,0 USD,21,EXISTING CREDITS PAID BACK,ELECTRONICS,2606,up to 100 K USD,up to 1 YR,NY,4,28,1,0
898,NONE,12,CRITICAL ACCOUNT,FURNITURE,1592,above 1000 K USD,4 to 7 YRS,CT,2 to 3 YRS,35,1,0
899,NONE,15,EXISTING CREDITS PAID BACK,FURNITURE,2186,UNKNOWN/NONE,4 to 7 YRS,PA,4,33,1,0
900,0 USD,18,EXISTING CREDITS PAID BACK,FURNITURE,4153,up to 100 K USD,1 to 4 YRS,NJ,above 4 YRS,42,1,1
901,0 USD,16,CRITICAL ACCOUNT,NEW CAR,2625,up to 100 K USD,above 7 YRS,NJ,4,43,1,1
902,NONE,20,CRITICAL ACCOUNT,NEW CAR,3485,UNKNOWN/NONE,up to 1 YR,NJ,4,44,2,0
903,NONE,36,CRITICAL ACCOUNT,USED CAR,10477,UNKNOWN/NONE,above 7 YRS,NJ,4,42,2,0
904,NONE,15,EXISTING CREDITS PAID BACK,ELECTRONICS,1386,UNKNOWN/NONE,1 to 4 YRS,NY,2 to 3 YRS,40,1,0
905,NONE,24,EXISTING CREDITS PAID BACK,ELECTRONICS,1278,up to 100 K USD,above 7 YRS,NY,1 to 2 YRS,36,1,0
906,0 USD,12,EXISTING CREDITS PAID BACK,ELECTRONICS,1107,up to 100 K USD,1 to 4 YRS,NJ,2 to 3 YRS,20,1,0
907,0 USD,21,EXISTING CREDITS PAID BACK,NEW CAR,3763,UNKNOWN/NONE,4 to 7 YRS,NJ,2 to 3 YRS,24,1,0
908,0 to 200 USD,36,EXISTING CREDITS PAID BACK,EDUCATION,3711,UNKNOWN/NONE,1 to 4 YRS,NJ,2 to 3 YRS,27,1,0
909,NONE,15,DELAY IN PAST,USED CAR,3594,up to 100 K USD,up to 1 YR,PA,2 to 3 YRS,46,2,0
910,0 to 200 USD,9,EXISTING CREDITS PAID BACK,NEW CAR,3195,UNKNOWN/NONE,1 to 4 YRS,PA,2 to 3 YRS,33,1,0
911,NONE,36,DELAY IN PAST,ELECTRONICS,4454,up to 100 K USD,1 to 4 YRS,NY,4,34,2,0
912,0 to 200 USD,24,CRITICAL ACCOUNT,FURNITURE,4736,up to 100 K USD,up to 1 YR,NJ,4,25,1,1
913,0 to 200 USD,30,EXISTING CREDITS PAID BACK,ELECTRONICS,2991,UNKNOWN/NONE,above 7 YRS,NJ,4,25,1,0
914,NONE,11,EXISTING CREDITS PAID BACK,RETRAINING,2142,above 1000 K USD,above 7 YRS,PA,2 to 3 YRS,28,1,0
915,0 USD,24,ALL CREDITS PAID BACK,RETRAINING,3161,up to 100 K USD,1 to 4 YRS,NY,2 to 3 YRS,31,1,1
916,0 to 200 USD,48,NONE TAKEN,OTHER,18424,up to 100 K USD,1 to 4 YRS,PA,2 to 3 YRS,32,1,1
917,NONE,10,EXISTING CREDITS PAID BACK,USED CAR,2848,100 to 500 K USD,1 to 4 YRS,PA,2 to 3 YRS,32,1,0
918,0 USD,6,EXISTING CREDITS PAID BACK,NEW CAR,14896,up to 100 K USD,above 7 YRS,PA,4,68,1,1
919,0 USD,24,EXISTING CREDITS PAID BACK,FURNITURE,2359,100 to 500 K USD,TBD,PA,1 to 2 YRS,33,1,1
920,0 USD,24,EXISTING CREDITS PAID BACK,FURNITURE,3345,up to 100 K USD,above 7 YRS,NY,2 to 3 YRS,39,1,1
921,NONE,18,CRITICAL ACCOUNT,FURNITURE,1817,up to 100 K USD,1 to 4 YRS,NY,2 to 3 YRS,28,2,0
922,NONE,48,DELAY IN PAST,ELECTRONICS,12749,500 to 1000 K USD,4 to 7 YRS,NY,1 to 2 YRS,37,1,0
923,0 USD,9,EXISTING CREDITS PAID BACK,ELECTRONICS,1366,up to 100 K USD,up to 1 YR,CT,4,22,1,1
924,0 to 200 USD,12,EXISTING CREDITS PAID BACK,NEW CAR,2002,up to 100 K USD,4 to 7 YRS,CT,4,30,1,0
925,0 USD,24,ALL CREDITS PAID BACK,FURNITURE,6872,up to 100 K USD,up to 1 YR,NJ,1 to 2 YRS,55,1,1
926,0 USD,12,ALL CREDITS PAID BACK,NEW CAR,697,up to 100 K USD,up to 1 YR,NY,2 to 3 YRS,46,2,1
927,0 USD,18,CRITICAL ACCOUNT,FURNITURE,1049,up to 100 K USD,up to 1 YR,NY,4,21,1,0
928,0 USD,48,EXISTING CREDITS PAID BACK,USED CAR,10297,up to 100 K USD,4 to 7 YRS,NY,4,39,3,1
929,NONE,30,EXISTING CREDITS PAID BACK,ELECTRONICS,1867,UNKNOWN/NONE,above 7 YRS,NY,4,58,1,0
930,0 USD,12,DELAY IN PAST,NEW CAR,1344,up to 100 K USD,1 to 4 YRS,NY,2 to 3 YRS,43,2,0
931,0 USD,24,EXISTING CREDITS PAID BACK,FURNITURE,1747,up to 100 K USD,up to 1 YR,NY,1 to 2 YRS,24,1,0
932,0 to 200 USD,9,EXISTING CREDITS PAID BACK,ELECTRONICS,1670,up to 100 K USD,up to 1 YR,NY,2 to 3 YRS,22,1,1
933,NONE,9,CRITICAL ACCOUNT,NEW CAR,1224,up to 100 K USD,1 to 4 YRS,CT,1 to 2 YRS,30,2,0
934,NONE,12,CRITICAL ACCOUNT,ELECTRONICS,522,500 to 1000 K USD,above 7 YRS,NY,4,42,2,0
935,0 USD,12,EXISTING CREDITS PAID BACK,ELECTRONICS,1498,up to 100 K USD,1 to 4 YRS,NY,1 to 2 YRS,23,1,0
936,0 to 200 USD,30,DELAY IN PAST,ELECTRONICS,1919,100 to 500 K USD,up to 1 YR,NY,above 4 YRS,30,2,1
937,above 200 USD,9,EXISTING CREDITS PAID BACK,ELECTRONICS,745,up to 100 K USD,1 to 4 YRS,CT,2 to 3 YRS,28,1,1
938,0 to 200 USD,6,EXISTING CREDITS PAID BACK,ELECTRONICS,2063,up to 100 K USD,up to 1 YR,NY,above 4 YRS,30,1,0
939,0 to 200 USD,60,EXISTING CREDITS PAID BACK,EDUCATION,6288,up to 100 K USD,1 to 4 YRS,NY,4,42,1,1
940,NONE,24,CRITICAL ACCOUNT,USED CAR,6842,UNKNOWN/NONE,1 to 4 YRS,NJ,4,46,2,0
941,NONE,12,EXISTING CREDITS PAID BACK,NEW CAR,3527,UNKNOWN/NONE,up to 1 YR,NJ,above 4 YRS,45,1,0
942,NONE,10,EXISTING CREDITS PAID BACK,NEW CAR,1546,up to 100 K USD,1 to 4 YRS,CT,2 to 3 YRS,31,1,0
943,NONE,24,EXISTING CREDITS PAID BACK,FURNITURE,929,UNKNOWN/NONE,4 to 7 YRS,NY,2 to 3 YRS,31,1,0
944,NONE,4,CRITICAL ACCOUNT,NEW CAR,1455,up to 100 K USD,4 to 7 YRS,NJ,1 to 2 YRS,42,3,0
945,0 USD,15,EXISTING CREDITS PAID BACK,FURNITURE,1845,up to 100 K USD,up to 1 YR,NY,1 to 2 YRS,46,1,0
946,0 to 200 USD,48,NONE TAKEN,NEW CAR,8358,500 to 1000 K USD,up to 1 YR,PA,1 to 2 YRS,30,2,0
947,0 USD,24,ALL CREDITS PAID BACK,FURNITURE,3349,500 to 1000 K USD,up to 1 YR,NY,4,30,1,1
948,NONE,12,EXISTING CREDITS PAID BACK,NEW CAR,2859,UNKNOWN/NONE,TBD,NY,4,38,1,0
949,NONE,18,EXISTING CREDITS PAID BACK,FURNITURE,1533,up to 100 K USD,up to 1 YR,NY,1 to 2 YRS,43,1,1
950,NONE,24,EXISTING CREDITS PAID BACK,ELECTRONICS,3621,100 to 500 K USD,above 7 YRS,NJ,4,31,2,1
951,0 to 200 USD,18,CRITICAL ACCOUNT,RETRAINING,3590,up to 100 K USD,TBD,CT,above 4 YRS,40,3,0
952,0 USD,36,DELAY IN PAST,RETRAINING,2145,up to 100 K USD,4 to 7 YRS,NJ,1 to 2 YRS,24,2,1
953,0 to 200 USD,24,EXISTING CREDITS PAID BACK,USED CAR,4113,500 to 1000 K USD,up to 1 YR,CT,4,28,1,1
954,NONE,36,EXISTING CREDITS PAID BACK,FURNITURE,10974,up to 100 K USD,TBD,NY,2 to 3 YRS,26,2,1
955,0 USD,12,EXISTING CREDITS PAID BACK,NEW CAR,1893,up to 100 K USD,1 to 4 YRS,NY,4,29,1,0
956,0 USD,24,CRITICAL ACCOUNT,ELECTRONICS,1231,above 1000 K USD,above 7 YRS,NY,4,57,2,0
957,above 200 USD,30,CRITICAL ACCOUNT,ELECTRONICS,3656,UNKNOWN/NONE,above 7 YRS,NY,4,49,2,0
958,0 to 200 USD,9,CRITICAL ACCOUNT,ELECTRONICS,1154,up to 100 K USD,above 7 YRS,NJ,4,37,3,0
959,0 USD,28,EXISTING CREDITS PAID BACK,NEW CAR,4006,up to 100 K USD,1 to 4 YRS,CT,2 to 3 YRS,45,1,1
960,0 to 200 USD,24,EXISTING CREDITS PAID BACK,FURNITURE,3069,100 to 500 K USD,above 7 YRS,NY,4,30,1,0
961,NONE,6,CRITICAL ACCOUNT,ELECTRONICS,1740,up to 100 K USD,above 7 YRS,NJ,2 to 3 YRS,30,2,0
